,0
0,"Everlane is a clothing company that is committed to sustainable practices. The company recently released a line of sweaters made from recycled cashmere. The sweaters are soft, comfortable, and stylish."
1,"Music Review:

Beth Hart's new song ""Vent"" is a powerful and emotional ballad that confirms her talent as a singer and songwriter. The song is a moving tribute to those who have lost loved ones, and Hart's vocals are stunning and heartbreaking."
2,Sarah Davis is the first female chief ranger of Yellowstone National Park. She has been with the park service for 19 years.
3,At least a dozen people have died and several are missing after flash floods hit western India. The floods were caused by heavy rains that caused rivers to overflow.
4,"Rashida Tlaib is a member of the House of Representatives from Michigan. In an article for Newsweek, Tlaib argues in favor of impeaching President Trump for his involvement in the Ukraine scandal."
5,"Some queued for up to three hours to get a glimpse of the former French president, who was lying in state at the Invalides monument in Paris. Jacques Chirac, who died on Thursday at the age of 86, was the first French leader in decades to be given a full state funeral."
6,"NOONAN: Dems are trying to set a trap for Trump by impeaching him. They think that if they can get him out of office, they'll be able to win in 2020."
7,Flu season is upon us and it's time to get vaccinated. The best way to protect yourself and your family is to get a flu shot.
8,This decision by the Trump administration to slash refugee resettlement admissions to a historic low is being condemned by many. The administration is facing criticism for its handling of the refugee crisis.
9,"Companies are to be investigated for price discrimination against customers who buy their products online, the Dáil committee on finance has heard.

The committee was told that companies were using “geo-blocking” to charge customers in different EU countries different prices for the same product."
10,"A mission to rescue a group of missing Argentinian submariners has been called off after a ""explosion"" was detected near the vessel's last known location. The ARA San Juan went missing on 15 November with 44 crew on board."
11,Nan.
12,Challenge in the High Court to an agency decision to remove a girl from her care. The foster mother is seeking a declaration that the decision was unlawful and an order quashing it.
13,"The detective leading the search for a missing five-year-old girl in New York has been removed from the case. The girl, who has been missing since Saturday, was last seen playing in a park near her home."
14,Clashing Senate reports on the NRA's influence in the Senate. The report says that the NRA has spent millions of dollars on lobbying and campaign contributions to Senators.
15,"In a deal that will reshape the American energy landscape, Louisiana’s Freeport-McMoRan has agreed to sell a majority stake in its oil and gas business to Plains All American and Occidental Petroleum."
16,"We’re just a few weeks away from the debut of “Epcot Forever” – an all-new nighttime show at Epcot! The show will feature fireworks, lasers, special effects kites, and more, all set to classic Epcot tunes."
17,US stocks have risen after the US and China agreed to restart trade talks. The move came after US President Donald Trump said he would delay new tariffs on Chinese goods.
18,"Once-revered UK fund manager Neil Woodford has been having a tough time lately. His flagship fund has lost a lot of money, and now his old company is selling off its stake in his new venture."
19,Pakistani Foreign Minister Shah Mahmood Qureshi has called for a dialogue with India to resolve the Kashmir issue. He also called on the international community to help Kashmiris exercise their right to self-determination.
20,"An oversight board created to help Puerto Rico recover from its financial crisis is pushing the island’s government to file for bankruptcy, a move that would give Puerto Rico’s creditors a greater say in how the island’s finances are managed."
21,"Commuters in Brussels, Belgium are using an app to hitchhike with strangers in an effort to avoid the city's congested public transportation. The app, called ""BlaBlaCar"", is popular in Europe and connects drivers with empty seats in their cars with passengers looking for a ride."
22,"Retired Nascar driver Danica Patrick is now an entrepreneur. In this video, she discusses her post-Nascar life and how she is enjoying being her own boss."
23,"A federal grand jury has indicted a U.S. Army soldier for allegedly planning to overthrow the government and kill senior military leaders, according to prosecutors.

The soldier, 22-year-old Cole James Bridges, is a self-proclaimed satanist who was arrested last week after he bought illegal firearms"
24,The Central Bank has banned the director of a financial service firm for two years. The regulator said the director had failed to comply with a number of requirements.
25,"In the article, Giuliani is described as sitting at the center of the Ukraine controversy. He is quoted as saying that he did not ask for anything in exchange for his help in getting Ukraine to investigate the Bidens."
26,"In his first public address since India imposed a curfew in Kashmir, Pakistani Prime Minister Imran Khan has called on the international community to intervene and help lift the restrictions. Khan said the people of Kashmir have been ""locked down"" for more than 40 days and that the situation is ""unacceptable""."
27,"The White House released a transcript of a call between President Donald Trump and Ukrainian President Volodymyr Zelensky on Friday. The call took place on July 25, one day after special counsel Robert Mueller testified before Congress about his investigation into Russian interference in the 2016 election."
28,Presenter catches flak for interviewing 16-year-old climate activist Greta Thunberg. Some viewers feel that the line of questioning was too personal and intrusive.
29,"Road policing staff will be striking this Saturday, but speed cameras will still be in use. The strike is in response to pay and conditions within the force."
30,"The signing of 17-year-old striker Erling Braut Haaland from Red Bull Salzburg is a coup for Dortmund. The Norwegian has been in prolific form this season, scoring 28 goals in 22 games."
31,"The White House is looking to block Broadcom Ltd's proposed takeover of Qualcomm Inc on national security grounds, according to a senior administration official.

The official said on Friday that the White House was concerned that the deal could reduce Qualcomm's investment in 5G technology and give China the upper hand in the development"
32,"The life of a soldier is not an easy one. They are constantly in danger, and have to be prepared to give up their lives for their country."
33,"Investors have been shying away from high-profile IPOs this year, but that hasn't stopped companies like Peloton and WeWork from testing the waters."
34,"McIlroy is in the lead after the first round of the Dunhill Links Championship, but he struggled on the back nine."
35,Youtube Embed: A homeowner gives tips on what to look for when buying a house for the first time. They recommend getting a home inspection and being aware of the potential repairs that may need to be made.
36,"Veteran Leicestershire batsman Paul Nixon has announced his retirement from cricket at the age of 45.

Nixon, who made his first-class debut in 1992, scored more than 12,000 runs in a career spanning almost three decades."
37,"Teenage activist Greta Thunberg led a climate change protest in Montreal on Friday, calling on Canadian politicians to do more to fight global warming. The protest was one of many being held around the world this week."
38,"Some manufacturers use plastic in their tea bags, which can release microplastics into your cup of tea. This is concerning because microplastics can contain harmful chemicals and end up in our waterways and food supply."
39,Minister for Housing Eoghan Murphy is facing criticism as new data shows that rents have surged by 7% in the last year. This is the biggest annual increase in rents since the start of the economic crash in 2008.
40,"Afghanistan appoint former England and Wales Cricket Board chief executive David Collier as their new chief executive.

Collier, who has also worked as chief executive of the Rugby Football Union and the British Olympic Association, will take up his new role with Afghanistan in February."
41,Meteorologists say a winter storm is expected to bring record snowfall to parts of the Rocky Mountains. The storm is also expected to bring heavy rain and strong winds to the Midwest and Northeast.
42,"The eight-month-old dog, a pit bull mix, was playing in the yard with the children when the snake struck. The dog, named Nala, died after being bitten four times."
43,"The article discusses a study that found that people who use more foul language are more likely to be honest. The study found that people who use more swear words are more likely to be telling the truth, and that people who use fewer swear words are more likely to be lying."
44,"Tom Holland is a British actor and dancer. He is best known for his roles in the films ""The Impossible"" and ""In the Heart of the Sea""."
45,"U.S. Defense Secretary Mark Esper said on Thursday he had not been briefed on a U.S. intelligence official's complaint that President Donald Trump had made an improper promise to a foreign leader, but he added that he would take any such complaint ""seriously."""
46,"Alison Roman's newsletter gives tips on how to grill in the fall. She includes recipes for grilled meats, vegetables, and fruits."
47,"In this article, Mary Hannigan defines various rugby terms that may be unfamiliar to those who don't typically watch the sport. She provides clear explanations for each term, making the article accessible to anyone who wants to learn more about rugby."
48,Investors sell riskier assets after weak Chinese data sparks concerns about a global economic slowdown. The data adds to evidence that the U.S.-China trade war is weighing on global growth.
49,"A new article in the New York Times discusses what to do about student debt. The article offers several options for those struggling with student debt, including refinancing, consolidation, and income-driven repayment plans."
50,"Fiancee of Jamal Khashoggi, Hatice Cengiz, has called for justice on the one year anniversary of his murder. Cengiz has said that she will not rest until those responsible are held accountable and justice is served."
51,"The new president of the 92nd Street Y, Seth Pinsky, is looking to bring the organization into the future. Pinsky plans to increase the 92nd Street Y's online presence and make it more accessible to people outside of New York City."
52,"Get breaking news alerts and special reports. The news and stories that matter, delivered weekday mornings.

The Santa Barbara Zoo's elderly elephant, Mac, was euthanized on Monday after his health rapidly declined."
53,"With the ever-growing social media platform, LinkedIn, comes a wealth of opportunity - including job seeking. The Editor in Chief of LinkedIn, Dan Roth, says that the best day to apply for a job is Monday."
54,"The Green Bay Packers have been fined $100,000 by the NFL for violating the league's injury report policy. The Packers failed to list quarterback Aaron Rodgers on the report with a knee injury for two weeks."
55,"A ragged band of presidents, some of them former slaves, some of them slave owners, all of them white men, looks out over the National Mall from the steps of the Lincoln Memorial. They are the presidents of the United States, and this is their park."
56,"Pro14 preview: Munster will be looking to continue their winning ways when they take on the Dragons at Thomond Park. The Dragons have shown improvement this season, but they will be up against a Munster side that has a lot of experience in these types of games."
57,"People in the United States are more likely to develop diabetes than people in any other country, according to a new study. The study found that nearly one in three U.S. adults will have diabetes by 2050."
58,The U.S. has imposed limits on Chinese investment in American companies and additional tariffs on $50 billion worth of Chinese goods in an escalating trade dispute with Beijing.
59,"Facebook has long been the go-to platform for businesses and individuals to market themselves online. But with constant changes to the site's algorithm, it can be hard to keep up. This Facebook marketing master class promises to teach users the ins and outs of the site, so they can make the most of their marketing"
60,Former President Bill Clinton and former Florida Gov. Jeb Bush are set to speak at an event in Maine. The two men will be discussing the economy and leadership.
61,"Protesters opposing Algerian President Abdelaziz Bouteflika's bid for a fifth term clashed with police in the capital on Friday, with several demonstrators injured, witnesses said. Police used teargas to disperse the crowd."
62,"The article is about a fire that broke out at a recycling center in Suffolk, England. The fire was caused by a pile of paper bales that caught fire."
63,Dispute centres on working hours and pay. Speed camera van operators in Ireland are set to strike from Saturday.
64,"About 9.5 million Afghans are registered to vote in the country's presidential election, despite the Taliban's threats to attack polling stations. The election is seen as a test of the country's stability ahead of a possible U.S. troop withdrawal."
65,"The prospect of a third election in Israel within a year loomed large on Thursday night as talks aimed at forming a unity government collapsed. The failure of the negotiations between Prime Minister Benjamin Netanyahu and his main rival, Benny Gantz, was a blow to US President Donald Trump’s efforts to broker a deal"
66,"Guyger said that she was in ""complete shock"" after she shot and killed Botham Jean. She testified that she did not know how to react after she realized she had shot an innocent man."
67,"The demonstrations were in response to the death of George Floyd, a black man who was killed in police custody in Minneapolis."
68,"Some in the U.K. are pushing for a ""no deal"" Brexit, which would mean leaving the European Union without a deal in place. This could have major consequences for the U.K., including trade disruptions, a decrease in investment, and a decline in the value of the pound."
69,"Marvel Studios and Sony Pictures have ended their partnership, which means Spider-Man will no longer be a part of the Marvel Cinematic Universe."
70,This is an article about Ford's plans to expand their autonomous vehicle program to three new cities. The program will allow people to hail a self-driving car from their phone and will eventually lead to a fully autonomous fleet.
71,"President Trump's former acting CIA director, Michael Morell, said the intelligence community's whistleblower complaint is ""well-founded"" and ""well-reasoned."" Morell said the complaint shows that the whistleblower is a ""very well-trained analyst."""
72,"Whistleblower complaint alleges Trump made ""promise"" to foreign leader. The complaint, filed by an intelligence official, says Trump's actions ""undermine"" U.S. national security."
73,"Puerto Rico has filed a road map in U.S. court for exiting bankruptcy, which includes restructuring $49 billion of pension debt and $34 billion of bond debt. The plan still needs to be approved by creditors and a judge."
74,"Get breaking news and analysis on LATAM Airlines Group S.A. (LTM) stock, price quote and chart, trading and investing tools."
75,"A black student at the University of Alabama was repeatedly called the N-word by a white student. The black student reported the incident to the university, which is now investigating."
76,"The Jupiter-like planet, called 51 Eridani b, is thought to have formed in a similar way to our own Solar System. The planet is about 100 million years old, making it one of the youngest exoplanets ever found."
77,"High Court allows hospital to take steps aimed at saving life of extremely underweight woman. The woman, who is in her 30s, has been an inpatient at the hospital for more than a year."
78,"An ornate, historic townhouse in Bedford-Stuyvesant, Brooklyn, has been gutted and rebuilt as a “passive house,” a super-insulated and airtight home designed to use very little energy for heating and cooling."
79,"This article provides a step-by-step guide on how to connect a Zagg keyboard to an iPad. First, make sure the keyboard is turned on and in Bluetooth discovery mode. Then, open the Settings app on the iPad and tap Bluetooth."
80,There are many ways to hurt your credit score without realizing it. Westend61/Getty Images.
81,"Global climate change is one of the most pressing issues of our time, and the Greens are hoping to make headway on the issue in Austria's upcoming election. The party is hoping to form a coalition government with the center-left Social Democrats and the left-wing List."
82,The product comes in the form of a headset that allows users to enter a virtual world. The headset is said to be very comfortable and easy to use.
83,This website offers a list of unique gifts for music lovers. The gifts range from a vinyl record player to a custom-made guitar.
84,"Netflix's new horror series, Marianne, is based on the work of Stephen King. The series is about a writer who returns to her hometown to confront her past."
85,"Popping out of a dead cockroach, a baby wasp begins its life by eating its host from the inside out. This gruesome, but fascinating, process is known as parasitism and is relatively common in the animal kingdom."
86,The article is about Instagram moms who are deleting topless photos of boys with long hair. They say that the photos are inappropriate and that they don't want their children to be exposed to them.
87,Preview followed by live coverage of Saturday's Premier League game between Chelsea and Watford.
