,url,description,gpt3_description
0,https://www.reuters.com/article/us-tesla-crash-idUSKCN1VO22E,"The National Transportation Safety Board said Tuesday a Tesla Model S was in Autopilot mode when it struck a fire truck in Culver City, California -- one of a series of crashes the board is investigating involving Tesla's driver assistance system.","The National Transportation Safety Board (NTSB) is investigating a Tesla Inc Model S that crashed into a parked firetruck on a freeway in Southern California on Monday, injuring two people, the agency said."
1,https://www.irishtimes.com/business/economy/unemployment-falls-to-post-crash-low-of-5-2-1.4006266,Latest monthly figures reflect continued growth in headline employment,"Latest monthly figures from the Central Statistics Office show that unemployment has fallen to 5.2%, the lowest level since February 2008. The number of people unemployed has decreased by 12,000 from the previous quarter."
2,https://www.irishtimes.com/							/life-and-style/fashion/louise-kennedy-aw2019-long-coats-sparkling-tweed-dresses-and-emerald-knits-1.4006504	,Autumn-winter collection features designer’s glittering take on Black Watch tartan,"The Autumn-winter 2019 collection by Louise Kennedy features long coats, sparkling tweed dresses, and emerald knits. The collection is inspired by the Irish landscape and the changing seasons."
3,https://www.aljazeera.com/news/2019/09/north-korean-footballer-han-joins-italian-giants-juventus-190903164640390.html,Han is the first North Korean player in the Serie A and was praised during his appearances during youth World Cups.,"Han is a North Korean footballer who has recently joined the Italian giants Juventus. This is a big step for North Korean football and for Han himself, who will now be playing against some of the best players in the world."
4,https://www.bbc.co.uk/news/av/uk-scotland-49564244/uk-government-lawyer-says-proroguing-parliament-political-not-legal,"The UK government's lawyer, David Johnston argued that proroguing parliament was a political decision for the government, rather than a legal matter for the court to decide.","The UK government's lawyer has said that proroguing parliament is a political, not legal, decision. He was speaking at the start of a two-day hearing at the Court of Session in Edinburgh."
5,https://abcnews.go.com/Entertainment/wireStory/tender-land-affecting-story-growing-65359757,"""This Tender Land"" by William Kent Krueger is an affecting story about growing up and overcoming a childhood filled with neglect, abuse and racism during the Depression.","This Tender Land is a heartwarming story about a group of orphans who travel down the Mississippi River in search of a new home. The story follows their journey as they face many challenges and learn about life, love, and friendship."
6,https://www.reuters.com/article/us-britain-eu-johnson-concession-idUSKCN1VO22Z,"The European Union is waiting to see if British lawmakers block Brexit before giving Britain concessions to strike a new withdrawal agreement, Prime Minister Boris Johnson said.","The European Union will not reopen the Brexit divorce deal, but could be willing to discuss changes to the political declaration on future ties, if Britain makes a ""serious and credible"" offer, according to a letter sent by European Council President Donald Tusk to British Prime Minister Boris Johnson."
7,https://www.reuters.com/article/us-europe-stocks-results-idUSKCN1VO24X,"Earnings and revenue expectations for European companies for the third quarter have improved very slightly, although the region is still expected to be in a corporate recession, according to data on Tuesday.'","Earnings and economic data dominate this week's corporate calendar, with companies including Coca-Cola, Merck and Pfizer scheduled to report."
8,https://www.bbc.co.uk/news/newsbeat-49564227,"There's been support dogs, a support turkey, and now a support horse on a plane - what's going on?",There's been a study that suggests people who are more open to trying new things may be more likely to have successful relationships. The study says that people who are more open to trying new activities are more likely to report higher levels of relationship satisfaction.
9,https://www.irishtimes.com/news/politics/boris-johnson-to-meet-leo-varadkar-in-dublin-on-monday-1.4006533,UK prime minister will meet Taoiseach for talks on Brexit and Northern Ireland,UK Prime Minister Boris Johnson is scheduled to meet with Irish Taoiseach Leo Varadkar in Dublin on Monday to discuss Brexit. This will be the first meeting between the two leaders since Johnson took office in July.
10,https://www.aljazeera.com/indepth/opinion/afghan-peace-deal-bring-peace-afghan-people-190903105533074.html,"While rushing to strike an agreement with the Taliban ahead of the 2020 election, Washington is ignoring Afghan demands.","While rushing to sign a peace deal with the Taliban, the Afghan government is forgetting about the Afghan people. The people of Afghanistan have been through decades of war and deserve to be a part of the peace process."
11,https://www.nytimes.com/2019/09/03/sports/tennis/daniil-medvedev-us-open.html,The 23-year-old has advanced to his first Grand Slam quarterfinal and turned a booing New York crowd into a bunch of amusing adversaries.,"The 23-year-old Daniil Medvedev of Russia won the men’s singles title at the 2019 U.S. Open, defeating the five-time champion Roger Federer in straight sets."
12,https://www.cnn.com/2019/09/03/entertainment/saved-by-bell-reunion-trnd/index.html,"""Saved by the Bell"" may be coming back.",The article is about the Saved by the Bell reunion. The reunion will feature some of the original cast members and will be a four-part series.
13,https://www.reuters.com/article/us-m-s-stock-ftse-intl-idUSKCN1VO25A,"Marks & Spencer will be relegated from London's FTSE 100 <.FTSE> index for the first time since the inception of the blue-chip index in 1984, according to Reuters calculations based on Tuesday's closing prices.","Marks & Spencer Group Plc will close more than 100 stores in the next four years as part of a plan to revive the British retailer, it said on Thursday.

The company also said it would speed up the rollout of its food halls to tap into growing demand for convenience shopping."
14,https://www.bbc.co.uk/sport/football/49570791,"Celtic have had a ""very good"" transfer window despite ""sniping"" from outside the club, says manager Neil Lennon.","Celtic have won the Scottish Premiership title for the eighth season in a row after a 5-0 win over Hearts at Celtic Park.

It is the first time in the club's history that they have won eight successive league titles."
15,https://www.bbc.co.uk/news/uk-england-london-49568520,"The 15-month-old child suffered a cardiac arrest at an address in Putney, before dying in hospital.",The 15-month-old girl who was found dead in a house in east London has been named as Scarlett Vaughan. A post-mortem examination gave the cause of death as unascertained.
16,https://www.nytimes.com/2019/09/03/world/asia/china-attack-school.html,"The police said they had arrested a 40-year-old male suspect, but the local authorities did not mention the method of attack or a possible motive.","The police in China say that a man attacked a school with a knife, injuring at least 20 people. The man has been detained and is being questioned."
17,https://www.cbsnews.com/news/california-boat-fire-coast-guard-suspends-search-efforts-for-victims-santa-cruz-island-2019-09-03/,Investigators have received more than 100 calls from family and friends who believe their loved ones were on board the ill-fated vessel,"Investigators have not found any signs of survivors after a fire broke out on a diving boat near Santa Cruz Island in California, killing 34 people. The Coast Guard has suspended its search efforts."
18,https://www.irishtimes.com/business/economy/exchequer-boost-for-government-ahead-of-budget-1.4006610,Latest figures suggest Governmet is on course to hit its tax and spending targets,Latest figures show that the government is in a better position than previously thought ahead of the budget. This is due to better than expected tax receipts.
19,https://www.newsweek.com/netflix-dark-crystal-age-resistance-review-muppets-game-thrones-1457428,"Travel back to Thra and see what the Gelfling, Skeksi, Mystics and more look like in 2019.","Travel back to the land of Thra in Netflix's new series, The Dark Crystal: Age of Resistance. The series is a prequel to the 1982 film The Dark Crystal and follows three Gelflings as they discover the horrifying secret behind the Skeksis' power."
20,https://www.aljazeera.com/news/2019/09/brexit-latest-updates-190903131130125.html,"UK legislators ready for crucial vote on PM Johnson's plan to exit the EU by Halloween, with or without a divorce deal.","UK legislators have voted to block a no-deal Brexit, paving the way for a vote on a motion to delay Britain's departure from the European Union. The move came after Prime Minister Boris Johnson lost a key vote on his Brexit strategy."
21,https://www.businessinsider.com/ism-manufacturing-factory-data-contraction-first-since-2016-trade-war-2019-9,US factory activity unexpectedly fell in August for the first time since January 2016. The contraction came as the US-China trade war continued to reduce demand for products from American manufacturers. The Institute for Supply Management's purchasing manager…,"US factory activity unexpectedly contracted in August, the first such decline in more than three years, as the trade war took a toll on the manufacturing sector. The ISM Manufacturing Index fell to 49.1 last month from 51.2 in July."
22,https://www.nytimes.com/2019/09/03/dining/drinks/natural-wine-bars-nyc.html,Four wine bars zero in on a rising segment of the industry.,Four wine bars in New York City that focus on natural wines are highlighted. The bars are noted for their relaxed atmosphere and knowledgeable staff.
23,https://www.businessinsider.com/paypals-visa-mastercard-partners-ebay-partners-payments-2019-8,"PayPal inked strategic partnerships over the past three years with more than 40 companies it previously would have considered competitors. Jim Magats, PayPal's senior vice president of payments, product and engineering, told Business Insider the move was mean…","PayPal inked a deal with Visa and Mastercard that will allow PayPal users to shop at any store that accepts those credit cards. The move is a big win for PayPal, which has been trying to expand its reach beyond online shopping."
24,https://ca.reuters.com/article/entertainmentNews/idCAKCN1VO1X7-OCAEN,"Judge Herbert Moses of the Manhattan Supreme Court set an Oct. 10 trial date on Tuesday for the actor Cuba Gooding Jr., who was charged with groping a woman at a Manhattan bar in June.","Judge Herbert Badejo of the Lagos state high court has overturned a ban on the film ""The Wedding Party 2"", which had been imposed by the Nigerian Film and Video Censors Board."
25,https://www.nytimes.com/2019/09/03/books/review/the-sweetest-fruits-monique-truong.html,"Through the memories of three women, Monique Truong’s novel “The Sweetest Fruits” paints a portrait of the first Westerner to write about a newly opened Japan.","Through the eyes of three women, The Sweetest Fruits tells the story of the life of author and botanist Josephine Baker. The women, who are all connected to Baker in some way, share their memories and stories of the legendary figure."
26,https://www.aljazeera.com/news/2019/09/india-chandrayaan-2-ready-moon-landing-190903012517283.html,Indian space agency says $140m module has reached distance of 100km from moon's surface and is set to land on Saturday.,"Indian space agency ISRO is preparing for a historic moon landing on September 7, when its Chandrayaan-2 spacecraft will attempt to touch down on the lunar surface. If successful, India will become only the fourth country to soft-land on the moon, after the US, Russia and China."
27,https://abcnews.go.com/US/wireStory/woman-survives-80-foot-cliff-fall-south-dakota-65359756,Authorities say a Minnesota woman has escaped with minor injuries after falling more than 80 feet from a cliff at a state park in South Dakota,Authorities say a woman survived an 80-foot cliff fall in South Dakota after she was found by a group of hikers. The woman was airlifted to a hospital and is expected to recover.
28,https://www.cbsnews.com/news/philadelphia-district-attorney-larry-krasner-exonerates-nine-people-in-19-months/,"Larry Krasner says, ""When somebody sits in a jail cell for a crime they did not commit, that is an injustice""",Larry Krasner is the district attorney of Philadelphia. He has exonerated nine people in 19 months.
29,https://www.bbc.co.uk/sport/football/49564550,"New Bolton boss Keith Hill says he will protect the ""special group"" of young players that helped ensure the club's survival.","New Bolton manager Keith Hill says he is relishing the opportunity to ""stir things up"" at the Championship club. Hill, who has been out of work since leaving Rochdale in January, has been appointed on a deal until the end of the season."
30,https://www.businessinsider.com/trump-skipped-poland-trip-hurricane-dorian-golfed-all-weekend-2019-9,"President Donald Trump told reporters last week that he was canceling a highly anticipated diplomatic trip to Poland so he could monitor Hurricane Dorian from Camp David. Trump spent hours playing golf at the Trump National Golf Club in Sterling, Virginia thr…","President Donald Trump skipped a trip to Poland this weekend to instead golf at his private club in Virginia. The president has been criticized for his handling of Hurricane Dorian, which has caused widespread damage and death in the Bahamas."
31,https://www.cbsnews.com/video/93-cbsn-am/,Deadly storm nears Florida coast; Protests continue in Hong Kong,"Deadly storm: At least four people were killed and more than two dozen injured when a severe storm system swept across the Midwest on Sunday, bringing tornadoes, high winds, hail and flooding."
32,https://www.reuters.com/article/sprint-ma-tmobile-illinois-idUSL2N25U102,"Illinois has joined a multistate lawsuit aimed at stopping the merger of U.S. wireless carriers T-Mobile US Inc and Sprint Corp, the New York attorney general's office, which is leading the effort along with California, said Tuesday.","Illinois has approved a $115 million incentive package for a combined Sprint and T-Mobile US Inc wireless facility in the state, officials said on Friday. The package includes $85 million in tax breaks and $30 million in grants."
33,https://abcnews.go.com/Technology/wireStory/hurricane-dorian-weakened-category-storm-maximum-sustained-winds-65358036,"Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.","Get breaking news on Hurricane Dorian as it approaches the Florida coast. The storm has weakened to a Category 3, with maximum sustained winds of 115 mph."
34,https://www.businessinsider.com/trump-china-trade-war-deal-tougher-if-reelected-in-2020-2019-9,President Donald Trump suggested on Tuesday that a more than yearlong trade dispute with China could potentially last until 2020. He said that any agreement to defuse tensions would be 'tougher' if he were to win re-election. Any other candidate would allow t…,"President Donald Trump has said that if he is re-elected in 2020, he will make a deal with China that is much tougher than the one he is currently working on. He also said that he is not happy with the current deal, but that it is the best that could be done at the moment."
35,https://www.cbsnews.com/video/odessa-gunman-was-on-a-long-spiral-of-going-down-before-shooting-officials-say/,"The gunman who went on a shooting rampage in West Texas called police before and during the massacre. Authorities say the attack happened after the gunman had been fired from his job, and that he ""was on a long spiral of going down"" before the shooting. Mirey…","The gunman in the Odessa shooting was on a long spiral of going down before the shooting, officials say. He had been fired from his job, and his family had been struggling."
36,https://abcnews.go.com/International/wireStory/israel-sends-firefighters-brazil-battle-amazon-fires-65357792,Israel says it will be dispatching a team of firefighters to assist Brazil with combatting the fires that have consumed large swaths of the country's rainforest,Israel says it is sending two firefighting aircraft to help battle the record number of fires in the Amazon rainforest. The move comes after Brazilian President Jair Bolsonaro accepted an offer of international help to fight the fires.
37,https://www.wsj.com/articles/pence-aide-defends-vice-presidents-stay-at-trump-property-in-ireland-11567514416,"Chief of Staff Marc Short said there was a ‘suggestion’ from the president that vice president stay there, but said ‘it wasn’t like a ‘you must’’","Chief of staff Marc Short defended Vice President Mike Pence's decision to stay at a Trump property in Ireland, saying it was the best option to ensure the vice president had a secure place to work. Mr. Pence is facing criticism for staying at the Trump International Golf Links & Hotel in Doonbeg, which"
38,https://www.cnn.com/2019/09/03/health/sugary-drinks-diet-sodas-soft-drink-linked-to-health-issues-wellness/index.html,Calling all lovers of diet sodas and sugary beverages. There's more bad news linking your favorite soft drinks to disease and an earlier death.,"Calling all soda drinkers! A new study has found that sugary drinks, diet sodas, and even ""healthy"" soft drinks are linked to a host of health issues. So it might be time to wean yourself off the fizzy stuff."
39,https://www.bbc.co.uk/sport/av/cricket/49572881,Ashes 2019: England's Jofra Archer celebrates after scoring a goal against his team-mates during a training session for fourth Test.,"Ashes 2019: England have drawn the first Test against Australia at Edgbaston. Joe Root's side were bowled out for 374 in their second innings, with Pat Cummins taking 5-54."
